concept,name,concept_type,domain,indicator_url,scales,drill_up,unit,interpolation,description,description_long
geo,Geographic location,entity_domain,,https://github.com/open-numbers/ddf--gapminder--dim_geo_countries_and_groups/blob/master/ddf--list--geo--country.csv,"[""ordinal""]",,,,,geo long
age,Age,entity_domain,,,"[""linear"",""log""]",,years,,,
time,Time,entity_domain,,,"[""time""]",,,,,
year,Year,entity_set,time,,"[""time""]",,,,,
translations,Translations,entity_domain,,,,,,,,
en,English,entity_set,translations,,,,,,,
se,Swedish,entity_set,translations,,,,,,,
lng_key,Key,string,,,,,,,,
lng_value,Value,string,,,,,,,,
language,Language,string,,,,,,,,
country,Country,entity_set,geo,https://github.com/open-numbers/ddf--gapminder--dim_geo_countries_and_groups/blob/master/ddf--list--geo--country.csv,"[""ordinal""]","[""geographic_regions"",""income_groups"",""landlocked"",""g77_and_oecd_countries"",""geographic_regions_in_4_colors"",""main_religion_2008""]",,,,
city_new,City,entity_set,geo,,"[""ordinal""]","[""country"",""main_religion_2008""]",,,,
main_religion_2008,Main religion 2008,entity_set,geo,http://spreadsheets.google.com/spreadsheet/pub?key=0ArtujvvFrPjVdHUzTGVicFJZQ1NjaFhqelV5SDNxMVE,"[""ordinal""]",,,,,
geographic_regions,Geographic regions,entity_set,geo,http://spreadsheets.google.com/pub?key=phT4mwjvEuGBtdf1ZeO7_PQ,"[""ordinal""]",,,,,
geographic_regions_in_4_colors,Geographic regions in 4 colors,entity_set,geo,http://spreadsheets.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdHlocWJBM1Uyd1ZPeHduU3c4WGplMEE,"[""ordinal""]",,,,,
income_groups,Income groups,entity_set,geo,http://spreadsheets.google.com/pub?key=phT4mwjvEuGCSmAe5aq7HKw,"[""ordinal""]",,,,,
world_4region,World Regions,entity_set,geo,http://spreadsheets.google.com/spreadsheet/pub?key=0ArfEDsV3bBwCdHlocWJBM1Uyd1ZPeHduU3c4WGplMEE,"[""ordinal""]",,,,,
code,CODE,string,,,,,,,,
color,Color,string,,,,,,,,
description,About,string,,,,,,,,
god_id,GOD_ID,string,,,,,,,,
name,Name,string,,https://github.com/open-numbers/ddf--gapminder--dim_geo_countries_and_groups/blob/master/ddf--list--geo--country.csv,"[""ordinal""]",,,,,
unit,Unit,string,,,,,,,,
energy_use_total,Energy use,measure,,https://docs.google.com/spreadsheet/pub?key=0AkBd6lyS3EmpdHd2Nld0NEVFOGRiSTc0V3ZoekNuS1E,"[""linear"",""log""]",,tons in oil eqv,,"Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport, counted in tonnes of oil equivalent (toe).",
latitude,Latitude,measure,,https://github.com/open-numbers/ddf--gapminder--dim_geo_countries_and_groups/blob/master/ddf--list--geo--country.csv,"[""linear""]",,degrees,,,
longitude,Longitude,measure,,https://github.com/open-numbers/ddf--gapminder--dim_geo_countries_and_groups/blob/master/ddf--list--geo--country.csv,"[""linear""]",,degrees,,,
sg_population,sg_population,measure,,http://www.gapminder.org/news/data-sources-dont-panic-end-poverty,"[""linear"",""log""]",,,,,
new_concept,new concept,string,,,,,,,,
