country,gwid,name,geographic_regions,income_groups,landlocked,g77_and_oecd_countries,geographic_regions_in_4_colors,main_religion_2008,gapminder_list,alternative_1,alternative_2,alternative_3,alternative_4_cdiac,pandg,god_id,alt_5,upper_case_name,code,number,arb1,arb2,arb3,arb4,arb5,arb6,is--country,world_4region,latitude,longitude
hkg,i98,"Hong Kong, China",east_asia_pacific,high_income,coastline,others,asia,eastern_religions,"Hong Kong, China","Hong Kong, China (SAR)",Hongkong,Hong Kong SAR,Hong Kong,HONG KONG,HK,"Hong Kong SAR, China",HONG KONG,HKG,344.0,"China, Hong Kong SAR",,,,,,TRUE,asia,22.28552,114.15768999999999
ukr,i237,Ukraine,europe_central_asia,lower_middle_income,coastline,others,europe,christian,Ukraine,,,,Ukraine,UKRAINE,UA,,UKRAINE,UKR,804.0,,,,,,,TRUE,europe,49.0,32.0
are,i238,United Arab Emirates,middle_east_north_africa,high_income,coastline,g77,asia,muslim,United Arab Emirates,UAE,,,United Arab Emirates,UNITED ARAB EMIRATES,AE,,UNITED ARAB EMIRATES,ARE,784.0,,,,,,,TRUE,asia,23.75,54.5
gbr,i239,United Kingdom,europe_central_asia,high_income,coastline,oecd,europe,christian,United Kingdom,UK,United Kingdom of Great Britain and Northern Ireland,,United Kingdom,UNITED KINGDOM,GB,,UNITED KINGDOM,GBR,826.0,Unitd Kingdm,,,,,,TRUE,europe,54.75844,-2.6953099999999997
korea_union,,United Korea (former),,,,,,,"Korea, United",United Korea,United Korea (former),,,,United_Korea,,,,,,,,,,,TRUE,asia,,
usa,i240,United States,america,high_income,coastline,oecd,america,christian,United States,United States of America,USA,U.S.A.,United States Of America,UNITED STATES,US,U.S.,UNITED STATES,USA,840.0,,,,,,,TRUE,americas,39.76,-98.5
ury,i241,Uruguay,america,high_income,coastline,g77,america,christian,Uruguay,,,,Uruguay,URUGUAY,UY,,URUGUAY,URY,858.0,,,,,,,TRUE,americas,-33.0,-56.0
uzb,i243,Uzbekistan,europe_central_asia,lower_middle_income,landlocked,others,asia,muslim,Uzbekistan,,,,Uzbekistan,UZBEKISTAN,UZ,,UZBEKISTAN,UZB,860.0,,,,,,,TRUE,asia,41.66667,63.833330000000004
vut,i245,Vanuatu,east_asia_pacific,lower_middle_income,coastline,g77,asia,christian,Vanuatu,,,,Vanuatu,,VU,,VANUATU,VUT,548.0,,,,,,,TRUE,asia,-16.0,167.0
zmb,i256,Zambia,sub_saharan_africa,lower_middle_income,landlocked,g77,africa,christian,Zambia,,,,Zambia,ZAMBIA,ZM,,ZAMBIA,ZMB,894.0,,,,,,,TRUE,africa,-14.333329999999998,28.5
zwe,i257,Zimbabwe,sub_saharan_africa,low_income,landlocked,g77,africa,christian,Zimbabwe,,,,Zimbabwe,ZIMBABWE,ZW,,ZIMBABWE,ZWE,716.0,,,,,,,TRUE,africa,-19.0,29.75
